,date,RP_flows
0,1945-12-02,1622.920613330048
1,1946-12-02,1752.1520000651565
2,1947-12-02,1752.1520000651565
3,1948-12-01,1764.4652911222572
4,1949-12-01,1764.4652911222572
5,1950-12-01,2081.4068900153734
6,1951-12-01,2081.4068900153734
7,1952-11-30,2081.4068900153734
8,1953-11-30,2081.4068900153734
9,1954-11-30,2218.8075822874243
10,1955-11-30,2218.8075822874243
11,1956-11-29,2080.587865364565
12,1957-11-29,2080.587865364565
13,1958-11-29,2080.587865364565
14,1959-11-29,2080.587865364565
15,1960-11-28,1912.452807715883
16,1961-11-28,1912.452807715883
17,1962-11-28,1949.7975396634245
18,1963-11-28,1949.7975396634245
19,1964-11-27,1752.566165939725
20,1965-11-27,1752.566165939725
21,1966-11-27,1752.566165939725
22,1967-11-27,1843.9990996849324
23,1968-11-26,1809.979328606741
24,1969-11-26,1862.2223981655088
25,1970-11-26,1862.2223981655088
26,1971-11-26,1918.609453244433
27,1972-11-25,1868.6652369669248
28,1973-11-25,1867.639129378833
29,1974-11-25,1867.639129378833
30,1975-11-25,1990.2205943752408
31,1976-11-24,2086.45831762025
32,1977-11-24,2050.9982730793986
33,1978-11-24,2050.9982730793986
34,1979-11-24,2220.0710208822616
35,1980-11-23,2220.0710208822616
36,1981-11-23,1793.2358587566168
37,1982-11-23,1811.5382675727749
38,1983-11-23,1811.5382675727749
39,1984-11-22,1971.622685187887
40,1985-11-22,2260.0892168178398
41,1986-11-22,2301.1335203415088
42,1987-11-22,2301.1335203415088
43,1988-11-21,2301.1335203415088
44,1989-11-21,2258.283639746731
45,1990-11-21,2301.1335203415088
46,1991-11-21,2483.1803631811163
47,1992-11-20,2483.1803631811163
48,1993-11-20,2483.1803631811163
49,1994-11-20,2483.1803631811163
50,1995-11-20,2209.039782616657
51,1996-11-19,2083.62663296105
52,1997-11-19,2088.7571709015087
53,1998-11-19,2209.039782616657
54,1999-11-19,2209.039782616657
55,2000-11-18,2150.107236151399
56,2001-11-18,2100.61674091625
57,2002-11-18,2104.721171268617
58,2003-11-18,2104.721171268617
59,2004-11-17,2078.7427331256663
60,2005-11-17,2078.7427331256663
61,2006-11-17,2110.1379024819416
62,2007-11-17,2110.1379024819416
63,2008-11-16,2008.7300861286828
64,2009-11-16,2008.7300861286828
65,2010-11-16,2049.932610323516
66,2011-11-16,2008.7300861286828
67,2012-11-15,1972.204378831949
